Time Value
20230110T083143 3.076982
20230110T083153 3.077060
20230110T083203 3.076863
20230110T083213 3.076796
20230110T083223 3.076397
20230110T083233 3.075933
20230110T083243 3.079272
20230110T083253 3.115910
20230110T083303 3.166387
20230110T083313 3.200196
20230110T083323 3.217683
20230110T083333 3.240559
20230110T083343 3.262634
20230110T083353 3.274396
20230110T083403 3.282462
20230110T083413 3.288860
20230110T083423 3.292911
20230110T083433 3.296157
20230110T083443 3.298964
20230110T083453 3.301221
20230110T083503 3.303629
20230110T083513 3.305857
20230110T083523 3.308008
20230110T083533 3.309489
20230110T083543 3.310686
20230110T083553 3.311075
20230110T083603 3.311257
20230110T083613 3.312466
20230110T083623 3.313078
20230110T083633 3.313745
20230110T083643 3.314958
20230110T083653 3.315492
20230110T083703 3.315719
20230110T083713 3.315923
20230110T083723 3.315684
20230110T083733 3.314970
20230110T083743 3.314300
20230110T083753 3.314076
20230110T083803 3.314413
20230110T083813 3.314730
20230110T083823 3.314271
20230110T083833 3.314722
20230110T083843 3.314661
20230110T083853 3.316009
20230110T083903 3.317482
20230110T083913 3.317556
20230110T083923 3.318044
20230110T083933 3.318354
20230110T083943 3.318181
20230110T083953 3.318257
20230110T084003 3.318320
20230110T084013 3.318062
20230110T084023 3.318124
20230110T084033 3.317687
20230110T084043 3.318452
20230110T084053 3.318248
20230110T084103 3.318016
20230110T084113 3.318066
20230110T084123 3.318565
20230110T084133 3.318876
20230110T084143 3.318977
20230110T084153 3.317975
20230110T084203 3.317361
20230110T084213 3.317346
20230110T084223 3.316857
20230110T084233 3.316282
20230110T084243 3.315670
20230110T084253 3.314863
20230110T084303 3.314987
20230110T084313 3.314602
20230110T084323 3.314782
20230110T084333 3.314963
20230110T084343 3.314304
20230110T084353 3.314220
20230110T084403 3.313569
20230110T084413 3.312762
20230110T084423 3.312320
20230110T084433 3.311698
20230110T084443 3.311358
20230110T084453 3.310386
20230110T084503 3.309875
20230110T084513 3.308624
20230110T084523 3.307458
20230110T084533 3.305741
20230110T084543 3.304378
20230110T084553 3.301666
20230110T084603 3.299848
20230110T084613 3.297019
20230110T084623 3.295016
20230110T084633 3.292591
20230110T084643 3.289803
20230110T084653 3.286827
20230110T084703 3.283914
20230110T084713 3.280714
20230110T084723 3.276930
20230110T084733 3.272535
20230110T084743 3.269049
20230110T084753 3.265907
20230110T084803 3.262440
20230110T084813 3.258539
20230110T084823 3.254163
20230110T084833 3.250154
20230110T084843 3.246936
20230110T084853 3.242830
20230110T084903 3.238485
20230110T084913 3.233824
20230110T084923 3.229456
20230110T084933 3.224698
20230110T084943 3.220305
20230110T084953 3.216071
20230110T085003 3.211274
20230110T085013 3.206037
20230110T085023 3.201491
20230110T085033 3.197037
20230110T085043 3.192722
20230110T085053 3.188681
20230110T085103 3.184421
20230110T085113 3.179353
20230110T085123 3.173741
20230110T085133 3.168437
20230110T085143 3.162966
20230110T085153 3.156324
20230110T085203 3.150901
20230110T085213 3.146397
20230110T085223 3.140000
20230110T085233 3.133292
20230110T085243 3.126913
20230110T085253 3.120051
20230110T085303 3.113152
20230110T085313 3.105857
20230110T085323 3.098727
20230110T085333 3.091742
20230110T085343 3.084377
20230110T085353 3.076725
20230110T085403 3.068482
20230110T085413 3.060025
20230110T085423 3.051738
